CH1,CH2,CH3
1.759530792,67.06295517,-0.060606061
1.718475073,69.35862807,-0.075268817
1.684261975,75.36645289,-0.070381232
1.657869013,85.03758554,-0.035190616
1.637341153,96.22288542,0.024437928
1.615835777,105.9428622,0.089931574
1.593352884,112.9275691,0.154936461
1.57086999,117.6654472,0.204789834
1.549364614,120.9868463,0.249755621
1.52688172,123.184831,0.274682307
1.50342131,124.3570895,0.294721408
1.478983382,124.60131,0.304985337
1.453567937,124.1617131,0.309872923
1.428152493,123.2825192,0.319648094
1.402737048,122.0614166,0.319648094
1.377321603,120.5960934,0.325024438
1.357771261,118.7400175,0.325024438
1.34115347,116.6885651,0.325024438
1.323558162,114.2463599,0.325024438
1.305962854,111.6087783,0.319648094
1.288367546,108.8246643,0.319648094
1.271749756,105.6986416,0.329912023
1.258064516,102.2795543,0.35483871
1.24340176,98.76277884,0.369990225
1.228739003,95.00178281,0.390029326
1.212121212,91.4361632,0.424731183
1.193548387,88.11476411,0.450146628
1.173020528,85.42833837,0.459921799
1.158357771,83.4257301,0.424731183
1.152492669,82.00925107,0.359726295
1.158357771,81.03236899,0.289833822
1.189638319,80.49508384,0.254643206
1.260997067,80.15317511,0.249755621
1.37829912,79.86011049,0.249755621
1.541544477,79.66473407,0.23998045
1.738025415,79.46935765,0.244868035
1.954056696,79.32282534,0.424731183
2.171065494,78.98091661,0.990224829
2.370478983,78.68785198,1.445747801
2.539589443,78.29709915,1.070381232
2.672531769,77.80865811,0.379765396
2.761485826,77.17368475,0.094819159
2.824046921,76.53871139,0.074780059
2.875855327,75.90373804,0.099706745
2.906158358,75.31760879,0.11485826
2.917888563,74.68263543,0.124633431
2.914956012,74.04766208,0.129521017
2.899315738,73.51037693,0.139784946
2.871945259,73.07077999,0.144672532
2.832844575,72.63118305,0.149560117
2.781036168,72.24043022,0.154936461
2.716520039,71.84967738,0.164711632
2.641251222,71.50776865,0.164711632
2.565004888,71.11701582,0.164711632
2.485826002,70.72626299,0.159824047
2.392961877,70.28666605,0.154936461
2.292277615,69.79822501,0.144672532
2.189638319,69.35862807,0.124633431
2.089931574,68.91903113,0.094819159
1.996089932,68.47943419,0.059628543
1.913000978,67.99099315,0.014662757
1.840664712,67.4048639,-0.03030303
1.779081134,67.30717569,-0.065493646
1.729227761,68.43059009,-0.090420332
1.688172043,72.48465074,-0.095307918
1.654936461,80.29970742,-0.070381232
1.631476051,90.75234574,-0.020527859
1.612903226,100.9119194,0.044477028
1.593352884,108.8735084,0.109481916
1.572825024,114.3440481,0.159824047
1.551319648,118.0562,0.204789834
1.528836755,120.6937817,0.234604106
1.505376344,122.3544812,0.26001955
1.479960899,123.0382987,0.274682307
1.455522972,122.8429222,0.284946237
1.430107527,122.1102607,0.294721408
1.404692082,121.0356904,0.300097752
1.380254154,119.6680555,0.304985337
1.362658847,117.9096677,0.304985337
1.34799609,115.8582153,0.304985337
1.330400782,113.5136983,0.304985337
1.31085044,110.8761167,0.304985337
1.293255132,107.9943145,0.304985337
1.277614858,104.917136,0.304985337
1.261974585,101.5957369,0.325024438
1.247311828,98.17664959,0.349951124
1.231671554,94.61102998,0.365102639
1.215053763,91.04541036,0.394916911
1.196480938,87.87054359,0.424731183
1.173998045,85.18411785,0.439882698
1.151515152,83.13266547,0.424731183
1.136852395,81.66734234,0.365102639
1.135874878,80.59277205,0.294721408
1.153470186,79.86011049,0.249755621
1.205278592,79.42051355,0.23998045
1.301075269,79.12744892,0.23998045
